
0;100;10.883850969235558;11.129915913814784;1;(7.64, 56, 1)
114;150229;5.48750868816975;None;5.775346043757918;3;(3.31, 28, 1)
115;151502;5.48750868816975;None;5.775346043757918;3;(3.01, 4, 3)
116;152824;5.48750868816975;None;5.775346043757918;3;(3.32, 14, 3)
117;154292;5.48750868816975;None;5.775346043757918;3;(3.89, 53, 1)
118;155757;5.48750868816975;None;5.775346043757918;3;(3.75, 41, 1)
119;157146;5.48750868816975;None;5.775346043757918;3;(3.47, 14, 2)
120;158199;5.48750868816975;None;5.775346043757918;3;(2.98, 3, 1)
121;159362;5.48750868816975;None;5.775346043757918;3;(3.05, 7, 1)
122;160679;5.48750868816975;None;5.775346043757918;3;(3.29, 14, 1)
123;161993;5.48750868816975;None;5.775346043757918;3;(3.3, 17, 1)
124;163128;5.48750868816975;None;5.775346043757918;3;(3.17, 12, 1)
125;164734;5.48750868816975;None;5.775346043757918;3;(4.13, 26, 3)
126;166064;5.48750868816975;None;5.775346043757918;3;(3.27, 11, 1)
127;167582;5.48750868816975;None;5.775346043757918;3;(3.79, 42, 3)
128;168988;5.48750868816975;None;5.775346043757918;3;(3.06, 7, 3)
129;170417;5.48750868816975;None;5.775346043757918;3;(3.5, 21, 3)
130;171786;5.48750868816975;None;5.775346043757918;3;(3.51, 20, 1)
131;173005;5.48750868816975;None;5.775346043757918;3;(3.37, 21, 1)
132;174322;5.48750868816975;None;5.775346043757918;3;(3.06, 9, 3)
133;175587;5.48750868816975;None;5.775346043757918;3;(3.05, 6, 1)
134;177063;5.48750868816975;None;5.775346043757918;3;(3.52, 39, 1)
135;178489;5.48750868816975;None;5.775346043757918;3;(3.44, 20, 1)
136;180009;5.48750868816975;None;5.775346043757918;3;(4.54, 49, 2)
137;181191;5.48750868816975;None;5.775346043757918;3;(3.26, 21, 1)
138;182666;5.48750868816975;None;5.775346043757918;3;(3.55, 27, 1)
139;184127;5.48750868816975;None;5.775346043757918;3;(3.32, 14, 2)
140;185521;5.48750868816975;None;5.775346043757918;3;(3.41, 23, 1)
141;187072;5.48750868816975;None;5.775346043757918;3;(3.51, 34, 1)
142;188395;5.48750868816975;None;5.775346043757918;3;(3.36, 16, 2)
143;189688;5.48750868816975;None;5.775346043757918;3;(3.36, 24, 1)
144;191211;5.48750868816975;None;5.775346043757918;3;(3.48, 50, 1)
145;192654;5.48750868816975;None;5.775346043757918;3;(3.61, 34, 2)
146;194018;5.48750868816975;None;5.775346043757918;3;(3.69, 48, 1)
147;195492;5.48750868816975;None;5.775346043757918;3;(3.9, 28, 1)
148;196673;5.48750868816975;None;5.775346043757918;3;(3.04, 5, 3)
149;197900;5.48750868816975;None;5.775346043757918;3;(3.01, 5, 1)
150;199352;5.48750868816975;None;5.775346043757918;3;(3.49, 21, 1)
151;200753;5.48750868816975;None;5.775346043757918;3;(3.29, 29, 3)
152;202309;5.48750868816975;None;5.775346043757918;3;(3.62, 32, 1)
153;203513;5.48750868816975;None;5.775346043757918;3;(3.07, 6, 2)
154;204694;5.48750868816975;None;5.775346043757918;3;(3.4, 21, 3)
155;206103;5.48750868816975;None;5.775346043757918;3;(3.45, 29, 3)
156;207275;5.48750868816975;None;5.775346043757918;3;(3.08, 7, 2)
157;208539;5.48750868816975;None;5.775346043757918;3;(3.17, 11, 3)
158;209833;5.48750868816975;None;5.775346043757918;3;(3.25, 18, 1)
159;210960;5.48750868816975;None;5.775346043757918;3;(3.06, 7, 2)
160;212056;5.48750868816975;None;5.775346043757918;3;(3.18, 9, 3)
161;212998;5.48750868816975;None;5.775346043757918;3;(2.95, 4, 1)
162;214131;5.48750868816975;None;5.775346043757918;3;(3.15, 18, 3)
163;215435;5.48750868816975;None;5.775346043757918;3;(3.27, 20, 2)
164;216797;5.48750868816975;None;5.775346043757918;3;(3.13, 11, 1)
165;218177;5.48750868816975;None;5.775346043757918;3;(3.83, 17, 1)
166;219819;5.48750868816975;None;5.775346043757918;3;(3.64, 30, 1)
167;221131;5.48750868816975;None;5.775346043757918;3;(3.03, 7, 2)
168;222474;5.48750868816975;None;5.775346043757918;3;(3.13, 12, 1)
169;223809;5.48750868816975;None;5.775346043757918;3;(3.41, 23, 3)
170;225148;5.48750868816975;None;5.775346043757918;3;(3.51, 32, 3)
171;226469;5.48750868816975;None;5.775346043757918;3;(3.25, 25, 3)
172;227901;5.48750868816975;None;5.775346043757918;3;(3.53, 20, 1)
173;229318;5.48750868816975;None;5.775346043757918;3;(3.88, 35, 1)
174;230584;5.48750868816975;None;5.775346043757918;3;(3.19, 12, 1)
175;231917;5.48750868816975;None;5.775346043757918;3;(3.32, 16, 1)
176;233095;5.48750868816975;None;5.775346043757918;3;(3.2, 20, 2)
177;234331;5.48750868816975;None;5.775346043757918;3;(3.5, 25, 1)
178;235761;5.48750868816975;None;5.775346043757918;3;(3.46, 40, 1)
179;237073;5.48750868816975;None;5.775346043757918;3;(3.36, 16, 1)
180;238462;5.48750868816975;None;5.775346043757918;3;(3.46, 35, 1)
181;239955;5.48750868816975;None;5.775346043757918;3;(3.63, 52, 1)
182;241212;5.48750868816975;None;5.775346043757918;3;(3.2, 12, 3)
183;242692;5.48750868816975;None;5.775346043757918;3;(3.58, 40, 3)
184;244110;5.48750868816975;None;5.775346043757918;3;(3.45, 26, 1)
185;245617;5.48750868816975;None;5.775346043757918;3;(3.85, 42, 1)
186;246941;5.48750868816975;None;5.775346043757918;3;(2.99, 4, 1)
